type,geometry/type,longitude,latitude,properties/id,properties/title,properties/description,properties/face,properties/icon/scaledSize/width,properties/icon/scaledSize/height,properties/icon/origin/x,properties/icon/origin/y,properties/icon/anchor/x,properties/icon/anchor/y,distance_miles
Feature,Point,27.666,46.2167,21590654,E12,,East,12,12,0,0,6,6,1.10877571222615
Feature,Point,27.672,46.2326,21590798,C,,East,12,12,0,0,6,6,1.10920043338001
Feature,Point,27.6724,46.2329,21590803,D1,,East,12,12,0,0,6,6,1.11091545666817
Feature,Point,27.6709,46.2319,21590624,B114,,East,12,12,0,0,6,6,1.11391268156715
Feature,Point,27.6731,46.2334,21590870,D12,,East,12,12,0,0,6,6,1.11431584772804
Feature,Point,27.6655,46.2175,21590651,J1,,East,12,12,0,0,6,6,1.11796397057032
Feature,Point,27.6728,46.2333,21590804,D10,,East,12,12,0,0,6,6,1.11851478224916
Feature,Point,27.6713,46.2323,21590625,D,,East,12,12,0,0,6,6,1.11856186238338
Feature,Point,27.6651,46.2188,21590742,B4,,East,12,12,0,0,6,6,1.12002913493465
Feature,Point,27.6657,46.2168,21590653,E11,,East,12,12,0,0,6,6,1.12068216243526
Feature,Point,27.6735,46.2338,21590873,D15,,East,12,12,0,0,6,6,1.12331294786462
Feature,Point,27.6659,46.2161,21590667,V3,,East,12,12,0,0,6,6,1.12555537157824
Feature,Point,27.6724,46.2332,21590877,D8,,East,12,12,0,0,6,6,1.12613991879755
Feature,Point,27.6661,46.2156,21590670,ANL,,East,12,12,0,0,6,6,1.12777173814486
Feature,Point,27.6651,46.2178,21590738,M2,,East,12,12,0,0,6,6,1.13216501873118
Feature,Point,27.6648,46.219,21590565,B6,,East,12,12,0,0,6,6,1.13231432844234
Feature,Point,27.6732,46.2338,21590871,D13,,East,12,12,0,0,6,6,1.13238602742489
Feature,Point,27.6654,46.2169,21590652,E10,,East,12,12,0,0,6,6,1.13268717634005
Feature,Point,27.671,46.2324,21590626,Q114,,East,12,12,0,0,6,6,1.13373172781143
Feature,Point,27.6647,46.2194,21590570,C3,,East,12,12,0,0,6,6,1.13375271492637
Feature,Point,27.6721,46.2333,21590876,D6,,East,12,12,0,0,6,6,1.14092470214348
Feature,Point,27.6716,46.233,21590801,D2,,East,12,12,0,0,6,6,1.14232355813346
Feature,Point,27.6713,46.2328,21590795,B,,East,12,12,0,0,6,6,1.14260926142014
Feature,Point,27.6647,46.2184,21590736,B3,,East,12,12,0,0,6,6,1.14324056623347
Feature,Point,27.6657,46.2157,21590674,V2,,East,12,12,0,0,6,6,1.1434709190658
Feature,Point,27.6652,46.2167,21590666,E1,,East,12,12,0,0,6,6,1.14556517159931
Feature,Point,27.6729,46.2339,21590869,D11,,East,12,12,0,0,6,6,1.14686188554914
Feature,Point,27.6738,46.2344,21590874,D16,,East,12,12,0,0,6,6,1.14713119164296
Feature,Point,27.6642,46.22,21590678,C4,,East,12,12,0,0,6,6,1.15389631959123
Feature,Point,27.6651,46.2163,21590668,E2,,East,12,12,0,0,6,6,1.15788620553488
Feature,Point,27.6655,46.2154,21590675,V1,,East,12,12,0,0,6,6,1.15945568348722
Feature,Point,27.6718,46.2335,21590802,D4,,East,12,12,0,0,6,6,1.16080509855187
Feature,Point,27.6649,46.2166,21590838,E9,,East,12,12,0,0,6,6,1.1612423035698
Feature,Point,27.6735,46.2345,21590875,D17,,East,12,12,0,0,6,6,1.16131573639436
Feature,Point,27.6726,46.234,21590878,D9,,East,12,12,0,0,6,6,1.16137546161267
Feature,Point,27.6642,46.2189,21590567,C2,,East,12,12,0,0,6,6,1.161664685851
Feature,Point,27.6708,46.2329,21590776,A,,East,12,12,0,0,6,6,1.16451010442799
Feature,Point,27.6651,46.2158,21590669,E3,,East,12,12,0,0,6,6,1.16837888527266
Feature,Point,27.6645,46.2172,21590737,M1,,East,12,12,0,0,6,6,1.1692631073021
Feature,Point,27.6715,46.2335,21590799,D3,,East,12,12,0,0,6,6,1.17058336755169
Feature,Point,27.6641,46.2183,21590566,B7,,East,12,12,0,0,6,6,1.1726790016866
Feature,Point,27.6722,46.234,21590796,D7,,East,12,12,0,0,6,6,1.17380476479669
Feature,Point,27.6698,46.2324,21590754,C1,,East,12,12,0,0,6,6,1.17617700896244
Feature,Point,27.6692,46.232,21590688,B1,,East,12,12,0,0,6,6,1.18013577638825
Feature,Point,27.664,46.218,21590735,B2,,East,12,12,0,0,6,6,1.18105094985909
Feature,Point,27.6739,46.2351,21590811,Z3,,East,12,12,0,0,6,6,1.1832791963289
Feature,Point,27.6646,46.2161,21590839,E8,,East,12,12,0,0,6,6,1.18478999972562
Feature,Point,27.6706,46.2332,21590727,K4,,East,12,12,0,0,6,6,1.18583617336912
Feature,Point,27.6719,46.2341,21590797,D5,,East,12,12,0,0,6,6,1.18843319158334
Feature,Point,27.6643,46.2165,21590835,I3,,East,12,12,0,0,6,6,1.19072796505997
Feature,Point,27.6647,46.2156,21590671,E4,,East,12,12,0,0,6,6,1.19091980614459
Feature,Point,27.6635,46.2193,21590679,C5,,East,12,12,0,0,6,6,1.19153350264779
Feature,Point,27.6648,46.2153,21590672,E5,,East,12,12,0,0,6,6,1.19327215765605
Feature,Point,27.6636,46.2183,21590569,C1,,East,12,12,0,0,6,6,1.19624803824201
Feature,Point,27.6716,46.2341,21590781,S1,,East,12,12,0,0,6,6,1.19792864853047
Feature,Point,27.6634,46.2187,21590680,C6,,East,12,12,0,0,6,6,1.20145424276449
Feature,Point,27.6641,46.2163,21590836,I4,,East,12,12,0,0,6,6,1.20372032510298
Feature,Point,27.6636,46.2177,21590734,P1,,East,12,12,0,0,6,6,1.20379790379112
Feature,Point,27.6639,46.2167,21590733,I2,,East,12,12,0,0,6,6,1.20554157149877
Feature,Point,27.6665,46.23,21590575,3,,East,12,12,0,0,6,6,1.20702280174981
Feature,Point,27.6705,46.2336,21590777,C4,,East,12,12,0,0,6,6,1.208741313423
Feature,Point,27.6644,46.2153,21590673,E6,,East,12,12,0,0,6,6,1.21127870168297
Feature,Point,27.6731,46.2352,21590800,D18,,East,12,12,0,0,6,6,1.21141832974327
Feature,Point,27.671,46.234,21590779,Q110,,East,12,12,0,0,6,6,1.21213809706217
Feature,Point,27.664,46.2161,21590837,I5,,East,12,12,0,0,6,6,1.21222759116508
Feature,Point,27.6725,46.2349,21590782,Z5,,East,12,12,0,0,6,6,1.21251238036694
Feature,Point,27.6668,46.2305,21590577,5,,East,12,12,0,0,6,6,1.21269971956982
Feature,Point,27.6642,46.2155,21590840,E7,,East,12,12,0,0,6,6,1.21577711332624
Feature,Point,27.6645,46.2147,21590676,G6,,East,12,12,0,0,6,6,1.22131492944778
Feature,Point,27.6693,46.233,21590697,A4,,East,12,12,0,0,6,6,1.22159508886233
Feature,Point,27.6711,46.2343,21590778,11,,East,12,12,0,0,6,6,1.2241790064514
Feature,Point,27.6755,46.2366,21590818,E9,,East,12,12,0,0,6,6,1.22933778116402
Feature,Point,27.665,46.2135,21590660,D1,,East,12,12,0,0,6,6,1.23237825361754
Feature,Point,27.6646,46.2141,21590661,F1,,East,12,12,0,0,6,6,1.2326829768731
Feature,Point,27.6706,46.2342,21590780,10,,East,12,12,0,0,6,6,1.2352887451725
Feature,Point,27.6663,46.2306,21590576,4,,East,12,12,0,0,6,6,1.23663097246403
Feature,Point,27.6631,46.2169,21590732,P3,,East,12,12,0,0,6,6,1.23919910969783
Feature,Point,27.6628,46.2176,21590571,P4,,East,12,12,0,0,6,6,1.24265649229359
Feature,Point,27.6667,46.2312,21590578,B9,,East,12,12,0,0,6,6,1.24307538003503
Feature,Point,27.675,46.2367,21590882,Z1,,East,12,12,0,0,6,6,1.24732883163631
Feature,Point,27.6635,46.2154,21590730,I1,,East,12,12,0,0,6,6,1.24969581974026
Feature,Point,27.6637,46.215,21590849,G7,,East,12,12,0,0,6,6,1.24978050748504
Feature,Point,27.6687,46.2332,21590696,A3,,East,12,12,0,0,6,6,1.25218006796409
Feature,Point,27.6766,46.2374,21590881,IPA,,East,12,12,0,0,6,6,1.25331743781946
Feature,Point,27.6699,46.2341,21590755,B4,,East,12,12,0,0,6,6,1.25347769216102
Feature,Point,27.6693,46.2337,21590694,B13,,East,12,12,0,0,6,6,1.25449801783983
Feature,Point,27.6644,46.2134,21590677,F2,,East,12,12,0,0,6,6,1.26126725219452
Feature,Point,27.664,46.214,21590657,G5,,East,12,12,0,0,6,6,1.26177250914554
Feature,Point,27.6762,46.2374,21590823,S6,,East,12,12,0,0,6,6,1.26194928534001
Feature,Point,27.6695,46.234,21590728,B12,,East,12,12,0,0,6,6,1.26208531386048
Feature,Point,27.6662,46.2312,21590579,B6,,East,12,12,0,0,6,6,1.26297876985379
Feature,Point,27.6623,46.2171,21590572,P5,,East,12,12,0,0,6,6,1.27326562523
Feature,Point,27.6681,46.2332,21590695,A2,,East,12,12,0,0,6,6,1.27375845046213
Feature,Point,27.6771,46.2379,21590817,E8,,East,12,12,0,0,6,6,1.27413580078506
Feature,Point,27.6701,46.2347,21590759,B3,,East,12,12,0,0,6,6,1.27685123348507
Feature,Point,27.6638,46.2137,21590658,G4,,East,12,12,0,0,6,6,1.27879144651679
Feature,Point,27.6695,46.2344,21590756,A1,,East,12,12,0,0,6,6,1.28166329574683
Feature,Point,27.6753,46.2374,21590814,E4,,East,12,12,0,0,6,6,1.28220119362522
Feature,Point,27.6668,46.2324,21590689,C8,,East,12,12,0,0,6,6,1.28735996951671
Feature,Point,27.6628,46.2151,21590729,G1,,East,12,12,0,0,6,6,1.28805623405142
Feature,Point,27.6661,46.2318,21590580,B7,,East,12,12,0,0,6,6,1.29013863138928
Feature,Point,27.6771,46.2382,21590820,H11,,East,12,12,0,0,6,6,1.29298299317657
Feature,Point,27.6631,46.2142,21590659,G3,,East,12,12,0,0,6,6,1.29627298936184
Feature,Point,27.6676,46.2334,21590693,A1,,East,12,12,0,0,6,6,1.30089201341662
Feature,Point,27.6766,46.2382,21590812,E7,,East,12,12,0,0,6,6,1.30304094855449
Feature,Point,27.6657,46.2318,21590581,B8,,East,12,12,0,0,6,6,1.30589657296303
Feature,Point,27.6703,46.2354,21590758,B2,,East,12,12,0,0,6,6,1.30639244483685
Feature,Point,27.6697,46.2351,21590757,A2,,East,12,12,0,0,6,6,1.31012157896548
Feature,Point,27.6671,46.2332,21590590,C8,,East,12,12,0,0,6,6,1.31032796737419
Feature,Point,27.6746,46.2376,21590822,S1,,East,12,12,0,0,6,6,1.31067825159022
Feature,Point,27.6766,46.2384,21590819,H10,,East,12,12,0,0,6,6,1.31554110056405
Feature,Point,27.6625,46.2145,21590726,G2,,East,12,12,0,0,6,6,1.31555766046852
Feature,Point,27.6687,46.2346,21590589,B5,,East,12,12,0,0,6,6,1.31842622046571
Feature,Point,27.6762,46.2384,21590816,E6,,East,12,12,0,0,6,6,1.32376712093473
Feature,Point,27.6755,46.2382,21590815,E5,,East,12,12,0,0,6,6,1.32641640742379
Feature,Point,27.6737,46.2375,21590789,R1,,East,12,12,0,0,6,6,1.32677490205138
Feature,Point,27.669,46.235,21590593,B6,,East,12,12,0,0,6,6,1.32804570423265
Feature,Point,27.6618,46.2152,21590725,P10,,East,12,12,0,0,6,6,1.33120473535412
Feature,Point,27.6705,46.236,21590761,B1,,East,12,12,0,0,6,6,1.3317726878486
Feature,Point,27.6761,46.2386,21590821,H9,,East,12,12,0,0,6,6,1.33828842678988
Feature,Point,27.6693,46.2354,21590595,B7,,East,12,12,0,0,6,6,1.33832081050498
Feature,Point,27.6699,46.2358,21590760,A3,,East,12,12,0,0,6,6,1.33979047384019
Feature,Point,27.6768,46.2389,21590649,2,,East,12,12,0,0,6,6,1.34297055362787
Feature,Point,27.6668,46.2337,21590583,D,,East,12,12,0,0,6,6,1.34345408679461
Feature,Point,27.6749,46.2383,21590813,E2,,East,12,12,0,0,6,6,1.34594042805731
Feature,Point,27.6683,46.2349,21590591,D1,,East,12,12,0,0,6,6,1.34659837443542
Feature,Point,27.6731,46.2376,21590783,CON,,East,12,12,0,0,6,6,1.3478775308001
Feature,Point,27.6677,46.2345,21590585,7,,East,12,12,0,0,6,6,1.34804223086521
Feature,Point,27.6734,46.2378,21590790,R2,,East,12,12,0,0,6,6,1.35194604961731
Feature,Point,27.6742,46.2382,21590784,E1,,East,12,12,0,0,6,6,1.35615236859154
Feature,Point,27.6686,46.2353,21590594,D2,,East,12,12,0,0,6,6,1.35623827228005
Feature,Point,27.6612,46.2153,21590568,P9,,East,12,12,0,0,6,6,1.35643251808627
Feature,Point,27.6609,46.2159,21590573,P7-P8,,East,12,12,0,0,6,6,1.35844655497905
Feature,Point,27.667,46.2342,21590584,6,,East,12,12,0,0,6,6,1.35881773146262
Feature,Point,27.6757,46.2388,21590883,Z2,,East,12,12,0,0,6,6,1.35909424202481
Feature,Point,27.67,46.2363,21590768,I4,,East,12,12,0,0,6,6,1.36299228979144
Feature,Point,27.6666,46.234,21590582,11,,East,12,12,0,0,6,6,1.36416203499323
Feature,Point,27.6689,46.2357,21590596,D3,,East,12,12,0,0,6,6,1.36651997119993
Feature,Point,27.6765,46.2392,21590650,Virgotex,,East,12,12,0,0,6,6,1.36775648119036
Feature,Point,27.6703,46.2366,21590766,I2,,East,12,12,0,0,6,6,1.36992438431456
Feature,Point,27.6748,46.2387,21590879,H6,,East,12,12,0,0,6,6,1.37255972279667
Feature,Point,27.6735,46.2382,21590785,H3,,East,12,12,0,0,6,6,1.37306240803791
Feature,Point,27.6728,46.2379,21590787,K1,,East,12,12,0,0,6,6,1.37306557003601
Feature,Point,27.6709,46.237,21590770,Z1,,East,12,12,0,0,6,6,1.37402903639185
Feature,Point,27.6693,46.2361,21590601,D4,,East,12,12,0,0,6,6,1.37426909571273
Feature,Point,27.6671,46.2347,21590586,8,,East,12,12,0,0,6,6,1.3784513147409
Feature,Point,27.6675,46.2352,21590587,9,,East,12,12,0,0,6,6,1.3883847438658
Feature,Point,27.6702,46.2369,21590765,I1,,East,12,12,0,0,6,6,1.38909592982888
Feature,Point,27.6738,46.2386,21590786,H4,,East,12,12,0,0,6,6,1.38963780554613
Feature,Point,27.6751,46.2391,21590884,Z4,,East,12,12,0,0,6,6,1.39046961365129
Feature,Point,27.6759,46.2394,21590648,1,,East,12,12,0,0,6,6,1.39230545778362
Feature,Point,27.6697,46.2367,21590767,I3,,East,12,12,0,0,6,6,1.39341237851788
Feature,Point,27.6678,46.2356,21590588,B8,,East,12,12,0,0,6,6,1.39775390902152
Feature,Point,27.6744,46.239,21590880,H5,,East,12,12,0,0,6,6,1.39985536550919
Feature,Point,27.6733,46.2386,21590791,K2,,East,12,12,0,0,6,6,1.40169308972971
Feature,Point,27.6681,46.236,21590592,B9,,East,12,12,0,0,6,6,1.40774973217309
Feature,Point,27.6747,46.2393,21590885,Z5,,East,12,12,0,0,6,6,1.41149186080264
Feature,Point,27.6716,46.2381,21590771,Z2,,East,12,12,0,0,6,6,1.41620342003606
Feature,Point,27.6693,46.2369,21590603,C1,,East,12,12,0,0,6,6,1.41625855572947
