title,type,longitude,latitude,remote_id
IPA,Feature,27.6766,46.2374,21590881
B4,Feature,27.6699,46.2341,21590755
B13,Feature,27.6693,46.2337,21590694
F2,Feature,27.6644,46.2134,21590677
G5,Feature,27.664,46.214,21590657
S6,Feature,27.6762,46.2374,21590823
B12,Feature,27.6695,46.234,21590728
B6,Feature,27.6662,46.2312,21590579
P5,Feature,27.6623,46.2171,21590572
A2,Feature,27.6681,46.2332,21590695
E8,Feature,27.6771,46.2379,21590817
B3,Feature,27.6701,46.2347,21590759
G4,Feature,27.6638,46.2137,21590658
A1,Feature,27.6695,46.2344,21590756
E4,Feature,27.6753,46.2374,21590814
C8,Feature,27.6668,46.2324,21590689
G1,Feature,27.6628,46.2151,21590729
B7,Feature,27.6661,46.2318,21590580
H11,Feature,27.6771,46.2382,21590820
G3,Feature,27.6631,46.2142,21590659
A1,Feature,27.6676,46.2334,21590693
E7,Feature,27.6766,46.2382,21590812
B8,Feature,27.6657,46.2318,21590581
B2,Feature,27.6703,46.2354,21590758
A2,Feature,27.6697,46.2351,21590757
C8,Feature,27.6671,46.2332,21590590
S1,Feature,27.6746,46.2376,21590822
H10,Feature,27.6766,46.2384,21590819
G2,Feature,27.6625,46.2145,21590726
B5,Feature,27.6687,46.2346,21590589
E6,Feature,27.6762,46.2384,21590816
E5,Feature,27.6755,46.2382,21590815
R1,Feature,27.6737,46.2375,21590789
B6,Feature,27.669,46.235,21590593
P10,Feature,27.6618,46.2152,21590725
B1,Feature,27.6705,46.236,21590761
H9,Feature,27.6761,46.2386,21590821
B7,Feature,27.6693,46.2354,21590595
A3,Feature,27.6699,46.2358,21590760
2,Feature,27.6768,46.2389,21590649
D,Feature,27.6668,46.2337,21590583
E2,Feature,27.6749,46.2383,21590813
D1,Feature,27.6683,46.2349,21590591
CON,Feature,27.6731,46.2376,21590783
7,Feature,27.6677,46.2345,21590585
R2,Feature,27.6734,46.2378,21590790
E1,Feature,27.6742,46.2382,21590784
D2,Feature,27.6686,46.2353,21590594
P9,Feature,27.6612,46.2153,21590568
P7-P8,Feature,27.6609,46.2159,21590573
6,Feature,27.667,46.2342,21590584
Z2,Feature,27.6757,46.2388,21590883
I4,Feature,27.67,46.2363,21590768
11,Feature,27.6666,46.234,21590582
D3,Feature,27.6689,46.2357,21590596
Virgotex,Feature,27.6765,46.2392,21590650
I2,Feature,27.6703,46.2366,21590766
H6,Feature,27.6748,46.2387,21590879
H3,Feature,27.6735,46.2382,21590785
K1,Feature,27.6728,46.2379,21590787
Z1,Feature,27.6709,46.237,21590770
D4,Feature,27.6693,46.2361,21590601
8,Feature,27.6671,46.2347,21590586
9,Feature,27.6675,46.2352,21590587
I1,Feature,27.6702,46.2369,21590765
H4,Feature,27.6738,46.2386,21590786
Z4,Feature,27.6751,46.2391,21590884
1,Feature,27.6759,46.2394,21590648
I3,Feature,27.6697,46.2367,21590767
B8,Feature,27.6678,46.2356,21590588
H5,Feature,27.6744,46.239,21590880
K2,Feature,27.6733,46.2386,21590791
B9,Feature,27.6681,46.236,21590592
Z5,Feature,27.6747,46.2393,21590885
Z2,Feature,27.6716,46.2381,21590771
C1,Feature,27.6693,46.2369,21590603
Z4,Feature,27.6699,46.2373,21590773
B10,Feature,27.6683,46.2364,21590597
K3,Feature,27.6739,46.2392,21590788
V10,Feature,27.6687,46.2368,21590598
Z6,Feature,27.6743,46.2395,21590886
B8,Feature,27.6717,46.2385,21590763
V1,Feature,27.6723,46.2388,21590775
V9,Feature,27.6691,46.2373,21590599
E4,Feature,27.6712,46.2384,21590764
E3,Feature,27.6719,46.2389,21590774
I5,Feature,27.6713,46.2387,21590769
V2,Feature,27.6726,46.2393,21590613
V8,Feature,27.6694,46.2378,21590600
Z3,Feature,27.6705,46.2384,21590772
B5,Feature,27.6722,46.2392,21590619
B7,Feature,27.6709,46.2388,21590762
V3,Feature,27.6717,46.2392,21590610
Confectii,Feature,27.6584,46.2154,21590681
B1,Feature,27.6726,46.2397,21590617
V7,Feature,27.6697,46.2384,21590602
B6,Feature,27.6713,46.2392,21590620
V4,Feature,27.6709,46.2391,21590607
A5,Feature,27.6729,46.24,21590616
B2,Feature,27.672,46.2397,21590615
V6,Feature,27.67,46.2389,21590604
A4,Feature,27.6722,46.2399,21590614
F1,Feature,27.673,46.2403,21590618
B3,Feature,27.6713,46.2397,21590612
A3,Feature,27.6716,46.2399,21590611
V5,Feature,27.6703,46.2394,21590605
B4,Feature,27.6706,46.2396,21590609
A2,Feature,27.6709,46.2398,21590608
C1,Feature,27.6724,46.2407,21590711
A1,Feature,27.6703,46.2399,21590606
C2,Feature,27.672,46.2407,21590710
D1,Feature,27.6697,46.2397,21590698
G1,Feature,27.6692,46.2397,21590701
C3,Feature,27.6716,46.2409,21590709
G2,Feature,27.6692,46.24,21590702
D2,Feature,27.6697,46.2403,21590699
C4,Feature,27.6712,46.2411,21590708
G3,Feature,27.6692,46.2404,21590703
D3,Feature,27.6698,46.2407,21590700
D5,Feature,27.6708,46.2412,21590707
E1,Feature,27.6694,46.2409,21590704
D4,Feature,27.6702,46.2413,21590706
E2,Feature,27.6697,46.2415,21590705
4,Feature,27.6816,46.2494,21590794
3,Feature,27.6814,46.2507,21590793
2,Feature,27.6818,46.2509,21590792
