type,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/id,properties/title,properties/description,properties/face,properties/icon/url,properties/icon/scaledSize/width,properties/icon/scaledSize/height,properties/icon/origin/x,properties/icon/origin/y,properties/icon/anchor/x,properties/icon/anchor/y
Feature,Point,26.12105,44.4585,21478386,Bloc T64,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.1213,44.45785,21478387,Bloc T65,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.1214,44.45735,21478388,Bloc T66,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.12205,44.4589,21478389,Bloc T67,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.12215,44.45865,21478390,Bloc T68,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.1218,44.4582,21478391,Bloc T69,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.12265,44.4586,21478392,Bloc T70,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.123,44.45845,21478393,Bloc T71,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.12255,44.4582,21478394,Bloc T72,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.1223,44.45785,21478395,Bloc T73,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.122,44.4577,21478396,Bloc T74,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.1221,44.4573,21478397,Bloc T75,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.1239,44.45385,21478398,Bloc T111,,East,//www.hartablocuri.ro/i/s28.png,20,20,0,0,10,10
Feature,Point,26.1378,44.4667,21478399,Bloc 84/1,,East,//www.hartablocuri.ro/i/s24-n.png,20,20,0,0,10,10
Feature,Point,26.1378,44.4672,21478400,Bloc 84/2,,East,//www.hartablocuri.ro/i/s24-n.png,19,19,0,0,9.5,9.5
Feature,Point,26.1388,44.46715,21478401,Bloc 85,,East,//www.hartablocuri.ro/i/s20.png,20,20,0,0,10,10
Feature,Point,26.1394,44.4676,21478402,Bloc 86,,East,//www.hartablocuri.ro/i/s20.png,20,20,0,0,10,10
Feature,Point,26.1401,44.4677,21478403,Bloc 87,,East,//www.hartablocuri.ro/i/s20.png,20,20,0,0,10,10
Feature,Point,26.1405,44.4679,21478404,Bloc 88,,East,//www.hartablocuri.ro/i/s20.png,20,20,0,0,10,10
Feature,Point,26.13955,44.4681,21478405,Bloc 89,,East,//www.hartablocuri.ro/i/s16.png,20,20,0,0,10,10
Feature,Point,26.13935,44.46865,21478406,Bloc 90,,East,//www.hartablocuri.ro/i/s20.png,20,20,0,0,10,10
Feature,Point,26.1399,44.4685,21478407,Bloc 91,,East,//www.hartablocuri.ro/i/s20.png,20,20,0,0,10,10
Feature,Point,26.1416,44.46845,21478408,Bloc 92,,East,//www.hartablocuri.ro/i/s20.png,20,20,0,0,10,10
Feature,Point,26.1421,44.4686,21478409,Bloc 93,,East,//www.hartablocuri.ro/i/s20-n.png,20,20,0,0,10,10
Feature,Point,26.1425,44.4688,21478410,Bloc 94,,East,//www.hartablocuri.ro/i/s26.png,20,20,0,0,10,10
Feature,Point,26.1422,44.4692,21478411,Bloc 94,,East,//www.hartablocuri.ro/i/s24.png,20,20,0,0,10,10
Feature,Point,26.1414,44.4695,21478412,Bloc 95,,East,//www.hartablocuri.ro/i/s16.png,20,20,0,0,10,10
Feature,Point,26.14075,44.4697,21478413,Bloc 96,,East,//www.hartablocuri.ro/i/s16.png,20,20,0,0,10,10
