type,geometry/type,longitude,latitude,properties/id,properties/title,properties/description,properties/face,properties/icon/url,properties/icon/scaledSize/width,properties/icon/scaledSize/height,properties/icon/origin/x,properties/icon/origin/y,properties/icon/anchor/x,properties/icon/anchor/y,distance_miles
Feature,Point,27.669,46.216,21590552,A2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9882270585924852
Feature,Point,27.6688,46.226,21590692,VI,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9893803964550256
Feature,Point,27.6681,46.2178,21590832,K3,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9922236745967861
Feature,Point,27.6695,46.215,21590847,D1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9935601194098762
Feature,Point,27.6676,46.2191,21590827,O5,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9987667209520045
Feature,Point,27.6726,46.2308,21590864,I2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0026808987395917
Feature,Point,27.6685,46.2163,21590622,A5,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0034298072845271
Feature,Point,27.6673,46.22,21590744,M6,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0061037060506337
Feature,Point,27.669,46.2151,21590636,VI,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0123335928300194
Feature,Point,27.6686,46.2156,21590550,A1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0162131603151345
Feature,Point,27.6683,46.216,21590621,A6,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0195109550959438
Feature,Point,27.6682,46.2262,21590851,C7,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0210500272646164
Feature,Point,27.667,46.2192,21590825,N4,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0262311597131695
Feature,Point,27.6671,46.2185,21590829,N3,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0290288692340346
Feature,Point,27.6732,46.2318,21590863,I1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0295714789613013
Feature,Point,27.6672,46.2181,21590830,K4,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.02964736541156
Feature,Point,27.6736,46.2321,21590859,D5,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0313713809177592
Feature,Point,27.6737,46.2322,21590860,D6,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0332159435180144
Feature,Point,27.669,46.2144,21590635,V1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0332842211605304
Feature,Point,27.6672,46.2177,21590665,K2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.035679935422716
Feature,Point,27.6673,46.2173,21590664,K1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.037789660329723
Feature,Point,27.6669,46.218,21590834,K5,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0451110086201614
Feature,Point,27.6691,46.2285,21590753,UMPS,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0477193495767803
Feature,Point,27.6665,46.2193,21590741,M5,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0490608984093397
Feature,Point,27.6676,46.2266,21590850,U1-11,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.05756060876536
Feature,Point,27.6677,46.2269,21590852,4,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0606670464392625
Feature,Point,27.6728,46.2322,21590866,C,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0627072473549795
Feature,Point,27.6664,46.2182,21590831,N2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0657593141031643
Feature,Point,27.6666,46.2171,21590662,J2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0736956446393613
Feature,Point,27.6663,46.2176,21590833,73,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0791462368251372
Feature,Point,27.6659,46.2187,21590740,M4,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0832682666136162
Feature,Point,27.6729,46.2327,21590868,Z4,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0845251765873474
Feature,Point,27.6657,46.2184,21590739,M3,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0961312533761933
Feature,Point,27.6655,46.2192,21590743,B5,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.0973565410304464
Feature,Point,27.6716,46.2322,21590627,E,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1034130514897775
Feature,Point,27.6657,46.2178,21590655,N1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1041052183351887
Feature,Point,27.6734,46.2334,21590872,D14,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1050323176677734
Feature,Point,27.666,46.2167,21590654,E12,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.108775712226152
Feature,Point,27.672,46.2326,21590798,C,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1092004333800123
Feature,Point,27.6724,46.2329,21590803,D1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1109154566681734
Feature,Point,27.6709,46.2319,21590624,B114,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1139126815671538
Feature,Point,27.6731,46.2334,21590870,D12,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.114315847728037
Feature,Point,27.6655,46.2175,21590651,J1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1179639705703195
Feature,Point,27.6728,46.2333,21590804,D10,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1185147822491646
Feature,Point,27.6713,46.2323,21590625,D,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.118561862383375
Feature,Point,27.6651,46.2188,21590742,B4,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1200291349346483
Feature,Point,27.6657,46.2168,21590653,E11,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1206821624352574
Feature,Point,27.6735,46.2338,21590873,D15,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1233129478646233
Feature,Point,27.6659,46.2161,21590667,V3,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1255553715782443
Feature,Point,27.6724,46.2332,21590877,D8,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1261399187975498
Feature,Point,27.6661,46.2156,21590670,ANL,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1277717381448624
Feature,Point,27.6651,46.2178,21590738,M2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.132165018731176
Feature,Point,27.6648,46.219,21590565,B6,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1323143284423438
Feature,Point,27.6732,46.2338,21590871,D13,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1323860274248871
Feature,Point,27.6654,46.2169,21590652,E10,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1326871763400475
Feature,Point,27.671,46.2324,21590626,Q114,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1337317278114283
Feature,Point,27.6647,46.2194,21590570,C3,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1337527149263689
Feature,Point,27.6721,46.2333,21590876,D6,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1409247021434803
Feature,Point,27.6716,46.233,21590801,D2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1423235581334634
Feature,Point,27.6713,46.2328,21590795,B,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1426092614201417
Feature,Point,27.6647,46.2184,21590736,B3,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1432405662334684
Feature,Point,27.6657,46.2157,21590674,V2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1434709190658032
Feature,Point,27.6652,46.2167,21590666,E1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.145565171599309
Feature,Point,27.6729,46.2339,21590869,D11,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1468618855491366
Feature,Point,27.6738,46.2344,21590874,D16,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.147131191642956
Feature,Point,27.6642,46.22,21590678,C4,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.153896319591225
Feature,Point,27.6651,46.2163,21590668,E2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1578862055348844
Feature,Point,27.6655,46.2154,21590675,V1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.159455683487216
Feature,Point,27.6718,46.2335,21590802,D4,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.160805098551871
Feature,Point,27.6649,46.2166,21590838,E9,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1612423035697983
Feature,Point,27.6735,46.2345,21590875,D17,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1613157363943578
Feature,Point,27.6726,46.234,21590878,D9,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1613754616126715
Feature,Point,27.6642,46.2189,21590567,C2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.161664685850999
Feature,Point,27.6708,46.2329,21590776,A,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1645101044279935
Feature,Point,27.6651,46.2158,21590669,E3,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,1.1683788852726564
